NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Allen Berube,1.7271999999999998,155.0,72.0,Orthodox,1974.0,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4
Anton Berzin,1.8796,205.0,72.0,Orthodox,1989.0,4.4,46.0,6.8,67.0,2.0,28.0,0.0,1.0
Matt Bessette,1.778,145.0,70.0,Orthodox,1984.0,4.36,41.0,4.45,58.0,0.64,28.0,61.0,0.3
Arjan Bhullar,1.8542,245.0,75.0,Orthodox,1986.0,2.33,56.0,3.25,59.0,1.73,75.0,100.0,0.0
Bibulatov Magomed,1.651,125.0,65.0,Orthodox,1988.0,3.6,51.0,1.83,52.0,2.85,40.0,75.0,0.0
David Bielkheden,1.778,155.0,71.0,Orthodox,1979.0,1.11,57.0,1.64,54.0,2.65,63.0,14.0,0.0
Jeremiah Billington,1.7526,205.0,72.0,Orthodox,1977.0,1.6,62.0,7.06,35.0,0.0,0.0,50.0,0.0
Anthony Birchak,1.7271999999999998,135.0,69.0,Orthodox,1986.0,4.23,36.0,3.06,60.0,0.6,16.0,73.0,0.0
Michael Bisping,1.8542,185.0,75.0,Orthodox,1979.0,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
Brad Blackburn,1.778,170.0,73.0,Orthodox,1977.0,4.55,35.0,3.59,65.0,0.93,50.0,76.0,0.7
Jan Blachowicz,1.8796,205.0,78.0,Orthodox,1983.0,3.49,48.0,2.74,54.0,1.1,52.0,65.0,0.2
Jason Black,1.7271999999999998,155.0,72.0,Orthodox,1972.0,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2
Sherrard Blackledge,1.8034,155.0,75.0,Orthodox,1993.0,3.7,49.0,3.13,55.0,4.0,33.0,42.0,0.0
Arlene Blencowe,1.651,145.0,72.0,Orthodox,1983.0,2.31,43.0,2.1,43.0,0.0,0.0,55.0,0.6
Mark Bocek,1.7271999999999998,155.0,75.0,Orthodox,1981.0,2.34,43.0,2.32,60.0,3.65,36.0,31.0,1.3
Maximo Blanco,1.7271999999999998,145.0,71.0,Orthodox,1983.0,4.11,44.0,3.19,66.0,1.85,36.0,63.0,0.3
Dan Bobish,1.8796,345.0,72.0,Southpaw,1970.0,2.06,44.0,1.74,34.0,2.44,42.0,0.0,1.6
Kyle Bochniak,1.7018,145.0,70.0,Orthodox,1987.0,2.63,31.0,5.11,58.0,1.14,15.0,62.0,0.0
Curtis Blaydes,1.9304,265.0,80.0,Orthodox,1991.0,3.55,53.0,1.73,57.0,6.98,55.0,33.0,0.0
Galore Bofando,1.8034,170.0,72.0,Switch,1982.0,3.63,45.0,3.63,54.0,2.37,100.0,50.0,0.0
